subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
𝛼・apex・1,𝛼・apex・1,1161764867166961704,1508074699589025964,https://discord.com/channels/799672011265015819/1161764867166961704/1508074699589025964,32,4,36,legit,0,target-verified,2026-05-25T05:20:03.012Z
β・dsperse・2,β・dsperse・2,1220504695404236800,1508074692500656269,https://discord.com/channels/799672011265015819/1220504695404236800/1508074692500656269,19,2,21,legit,0,target-verified,2026-05-25T05:20:08.477Z
γ・τeuτonic・3,γ・τeuτonic・3,1493243812263362660,1508074686745935962,https://discord.com/channels/799672011265015819/1493243812263362660/1508074686745935962,39,5,44,legit,0,target-verified,2026-05-25T05:20:13.326Z
∆・τargon・4,∆・τargon・4,1161765008347254915,1508074680244895824,https://discord.com/channels/799672011265015819/1161765008347254915/1508074680244895824,35,0,35,legit,0,target-verified,2026-05-25T05:20:18.837Z
ε・hone・5,ε・hone・5,1368959417936252998,1508074674385321984,https://discord.com/channels/799672011265015819/1368959417936252998/1508074674385321984,17,14,31,legit,0,target-verified,2026-05-25T05:20:24.237Z
ζ・numinous・6,ζ・numinous・6,1209554949449457705,1508074669998342296,https://discord.com/channels/799672011265015819/1209554949449457705/1508074669998342296,15,21,36,bunk,0,target-verified,2026-05-25T05:20:30.976Z
η・allways・7,η・allways・7,1437494877578330174,1508074664516255905,https://discord.com/channels/799672011265015819/1437494877578330174/1508074664516255905,21,14,35,legit,0,target-verified,2026-05-25T05:20:36.475Z
θ・vanta・8,θ・vanta・8,1162384774170677318,1508074659017658479,https://discord.com/channels/799672011265015819/1162384774170677318/1508074659017658479,17,25,42,bunk,0,target-verified,2026-05-25T05:20:42.312Z
ι・ioτa・9,ι・ioτa・9,1162768567821930597,1508074652096790759,https://discord.com/channels/799672011265015819/1162768567821930597/1508074652096790759,35,4,39,legit,0,target-verified,2026-05-25T05:20:55.129Z
κ・unclaimed・10,κ・unclaimed・10,1466140393199636692,1508074646887731273,https://discord.com/channels/799672011265015819/1466140393199636692/1508074646887731273,1,25,26,bunk,1,target-verified,2026-05-25T05:21:00.808Z
λ・trajectory-rl・11,λ・trajectory-rl・11,1466120711033590034,1508074641804234852,https://discord.com/channels/799672011265015819/1466120711033590034/1508074641804234852,47,4,51,legit,0,target-verified,2026-05-25T05:21:07.384Z
µ・horde・12,µ・horde・12,1201941624243109888,1508074634208215151,https://discord.com/channels/799672011265015819/1201941624243109888/1508074634208215151,3,16,19,bunk,0,target-verified,2026-05-25T05:21:12.987Z
ν・daτaverse・13,ν・daτaverse・13,1185617142914236518,1508074631289110558,https://discord.com/channels/799672011265015819/1185617142914236518/1508074631289110558,19,5,24,legit,1,target-verified,2026-05-25T05:21:18.813Z
ㄷ・cacheon・14,ㄷ・cacheon・14,1503393871172866098,1508074630181683413,https://discord.com/channels/799672011265015819/1503393871172866098/1508074630181683413,21,0,21,legit,2,target-verified,2026-05-25T05:21:24.071Z
ο・oro・15,ο・oro・15,1466080859164643389,1508074617590251640,https://discord.com/channels/799672011265015819/1466080859164643389/1508074617590251640,33,4,37,legit,0,target-verified,2026-05-25T05:21:30.969Z
π・biτads・16,π・biτads・16,1437905570219950170,1508074610791415831,https://discord.com/channels/799672011265015819/1437905570219950170/1508074610791415831,13,6,19,legit,13,target-verified,2026-05-25T05:21:37.019Z
ρ・404—gen・17,ρ・404—gen・17,1179081290289528864,1508074603883266170,https://discord.com/channels/799672011265015819/1179081290289528864/1508074603883266170,19,7,26,legit,0,target-verified,2026-05-25T05:21:48.762Z
σ・zeus・18,σ・zeus・18,1335971614516576296,1508074598376411287,https://discord.com/channels/799672011265015819/1335971614516576296/1508074598376411287,12,20,32,bunk,0,target-verified,2026-05-25T05:21:55.631Z
τ・blockmachine・19,τ・blockmachine・19,1414687189752746167,1508074582001844285,https://discord.com/channels/799672011265015819/1414687189752746167/1508074582001844285,21,1,22,legit,0,target-verified,2026-05-25T05:22:01.148Z
υ・groundlayer・20,υ・groundlayer・20,1475925616996909269,1508074587324420308,https://discord.com/channels/799672011265015819/1475925616996909269/1508074587324420308,2,14,16,bunk,0,target-verified,2026-05-25T05:22:08.394Z
φ・adτao・21,φ・adτao・21,1489651673944297472,1508074575601209535,https://discord.com/channels/799672011265015819/1489651673944297472/1508074575601209535,9,11,20,bunk,0,target-verified,2026-05-25T05:22:13.722Z
χ・desearch・22,χ・desearch・22,1189589759065067580,1508074569129398433,https://discord.com/channels/799672011265015819/1189589759065067580/1508074569129398433,13,9,22,legit,0,target-verified,2026-05-25T05:22:19.528Z
ψ・trishool・23,ψ・trishool・23,1437447445176127618,1508074563614019685,https://discord.com/channels/799672011265015819/1437447445176127618/1508074563614019685,27,12,39,legit,0,target-verified,2026-05-25T05:22:25.231Z
ω・quasar・24,ω・quasar・24,1453112474692751532,1508074557552984175,https://discord.com/channels/799672011265015819/1453112474692751532/1508074557552984175,50,6,56,legit,1,target-verified,2026-05-25T05:22:30.745Z
א・mainframe・25,א・mainframe・25,1234881153832321024,1508074548841681047,https://discord.com/channels/799672011265015819/1234881153832321024/1508074548841681047,1,25,26,bunk,0,target-verified,2026-05-25T05:22:42.635Z
ב・perτurb・26,ב・perτurb・26,1501594532016558080,1508074540205608971,https://discord.com/channels/799672011265015819/1501594532016558080/1508074540205608971,55,37,92,legit,0,target-verified,2026-05-25T05:22:48.367Z
