subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
ז・unclaimed・31,ז・unclaimed・31,1453804374760362166,1508074502897274910,https://discord.com/channels/799672011265015819/1453804374760362166/1508074502897274910,1,9,10,bunk,0,target-verified,2026-05-24T22:08:03.024Z
ח・iτsai・32,ח・iτsai・32,1215319932062011464,1508074495988994050,https://discord.com/channels/799672011265015819/1215319932062011464/1508074495988994050,4,11,15,bunk,13,target-verified,2026-05-24T22:08:09.070Z
ט・ready・33,ט・ready・33,1233428828479819876,1508074488749625415,https://discord.com/channels/799672011265015819/1233428828479819876/1508074488749625415,13,7,20,legit,3,target-verified,2026-05-24T22:08:22.076Z
י・mind・34,י・mind・34,1247680967225905273,1508074482189860884,https://discord.com/channels/799672011265015819/1247680967225905273/1508074482189860884,5,8,13,bunk,0,target-verified,2026-05-24T22:08:28.006Z
ך・oxmarkets・35,ך・oxmarkets・35,1415790978077556906,1508074476011520001,https://discord.com/channels/799672011265015819/1415790978077556906/1508074476011520001,18,0,18,legit,0,target-verified,2026-05-24T22:08:33.490Z
כ・eirel・36,כ・eirel・36,1490699199208230993,1508074470672437410,https://discord.com/channels/799672011265015819/1490699199208230993/1508074470672437410,14,18,32,bunk,0,target-verified,2026-05-24T22:08:39.130Z
ל・aurelius・37,ל・aurelius・37,1420486463841374261,1508074465483952178,https://discord.com/channels/799672011265015819/1420486463841374261/1508074465483952178,8,1,9,legit,0,target-verified,2026-05-24T22:08:44.624Z
ם・unclaimed・38,ם・unclaimed・38,1485634202895519844,1508074457367838792,https://discord.com/channels/799672011265015819/1485634202895519844/1508074457367838792,3,12,15,bunk,0,target-verified,2026-05-24T22:08:49.993Z
מ・cathedral・39,מ・cathedral・39,1493246871026794596,1508074451223318549,https://discord.com/channels/799672011265015819/1493246871026794596/1508074451223318549,9,2,11,legit,1,target-verified,2026-05-24T22:08:55.802Z
ן・unclaimed・40,ן・unclaimed・40,1371491429775446147,1508074445108023306,https://discord.com/channels/799672011265015819/1371491429775446147/1508074445108023306,1,9,10,bunk,0,target-verified,2026-05-24T22:09:01.151Z
נ・almanac・41,נ・almanac・41,1263142301786574889,1508074439953092718,https://discord.com/channels/799672011265015819/1263142301786574889/1508074439953092718,14,9,23,legit,0,target-verified,2026-05-24T22:09:06.285Z
ס・unclaimed・42,ס・unclaimed・42,1486496645058138152,1508074434093912215,https://discord.com/channels/799672011265015819/1486496645058138152/1508074434093912215,0,5,5,bunk,0,target-verified,2026-05-24T22:09:11.581Z
ע・graphiτe・43,ע・graphiτe・43,1263507367405031434,1508074428733456424,https://discord.com/channels/799672011265015819/1263507367405031434/1508074428733456424,1,16,17,bunk,0,target-verified,2026-05-24T22:09:17.070Z
ף・score・44,ף・score・44,1271486854830755981,1508074423322808440,https://discord.com/channels/799672011265015819/1271486854830755981/1508074423322808440,48,18,66,legit,0,target-verified,2026-05-24T22:09:22.272Z
פ・τalisman・45,פ・τalisman・45,1267511824601976935,1508074417597714502,https://discord.com/channels/799672011265015819/1267511824601976935/1508074417597714502,3,7,10,bunk,0,target-verified,2026-05-24T22:09:34.160Z
ץ・zipcode・46,ץ・zipcode・46,1397618038894759956,1508074412161761412,https://discord.com/channels/799672011265015819/1397618038894759956/1508074412161761412,18,10,28,legit,0,target-verified,2026-05-24T22:09:39.500Z
צ・evolai・47,צ・evolai・47,1463546702383550545,1508074404612018296,https://discord.com/channels/799672011265015819/1463546702383550545/1508074404612018296,5,0,5,legit,0,target-verified,2026-05-24T22:09:44.841Z
ק・quantum-c・48,ק・quantum-c・48,1407438037956427960,1508074398358175744,https://discord.com/channels/799672011265015819/1407438037956427960/1508074398358175744,1,1,2,tie,0,target-verified,2026-05-24T22:19:27.162Z
ר・nepher・49,ר・nepher・49,1434923225229295697,1508074390535798906,https://discord.com/channels/799672011265015819/1434923225229295697/1508074390535798906,9,6,15,legit,0,target-verified,2026-05-24T22:09:56.345Z
ש・synth・50,ש・synth・50,1311109830282313781,1508074381325373450,https://discord.com/channels/799672011265015819/1311109830282313781/1508074381325373450,14,1,15,legit,0,target-verified,2026-05-24T22:10:01.917Z
ⱄ・lium-io・51,ⱄ・lium-io・51,1291754566957928469,1508073959118344202,https://discord.com/channels/799672011265015819/1291754566957928469/1508073959118344202,23,0,23,legit,0,target-verified,2026-05-24T22:10:07.172Z
ا・dojo・52,ا・dojo・52,1213131262483628102,1508073953279737966,https://discord.com/channels/799672011265015819/1213131262483628102/1508073953279737966,0,8,8,bunk,0,target-verified,2026-05-24T22:10:16.152Z
