subnet,channelName,channelId,messageId,messageUrl,up,down,total,scrapeStatus
א・mainframe・25,א・mainframe・25,1234881153832321024,1508074548841681047,https://discord.com/channels/799672011265015819/1234881153832321024/1508074548841681047,1,15,16,verified
ב・perτurb・26,ב・perτurb・26,1501594532016558080,1508074540205608971,https://discord.com/channels/799672011265015819/1501594532016558080/1508074540205608971,36,24,60,verified
ג・unclaimed・27,ג・unclaimed・27,1491076891220770916,1508074534824054826,https://discord.com/channels/799672011265015819/1491076891220770916/1508074534824054826,0,6,6,verified
ד・fish・28,ד・fish・28,1343950080465698836,1508074526905340036,https://discord.com/channels/799672011265015819/1343950080465698836/1508074526905340036,6,18,24,verified
ה・booτsτrap・29,ה・booτsτrap・29,1501236443865940059,1508074513760256122,https://discord.com/channels/799672011265015819/1501236443865940059/1508074513760256122,0,3,3,verified
ו・wahooτ・30,ו・wahooτ・30,1450258703902310543,1508074508177772554,https://discord.com/channels/799672011265015819/1450258703902310543/1508074508177772554,0,6,6,verified
ז・unclaimed・31,ז・unclaimed・31,1453804374760362166,1508074502897274910,https://discord.com/channels/799672011265015819/1453804374760362166/1508074502897274910,1,5,6,verified
ח・iτsai・32,ח・iτsai・32,1215319932062011464,1508074495988994050,https://discord.com/channels/799672011265015819/1215319932062011464/1508074495988994050,4,6,10,verified
ט・ready・33,ט・ready・33,1233428828479819876,1508074488749625415,https://discord.com/channels/799672011265015819/1233428828479819876/1508074488749625415,10,6,16,verified
י・mind・34,י・mind・34,1247680967225905273,1508074482189860884,https://discord.com/channels/799672011265015819/1247680967225905273/1508074482189860884,2,5,7,verified
ך・oxmarkets・35,ך・oxmarkets・35,1415790978077556906,1508074476011520001,https://discord.com/channels/799672011265015819/1415790978077556906/1508074476011520001,18,0,18,verified
כ・eirel・36,כ・eirel・36,1490699199208230993,1508074470672437410,https://discord.com/channels/799672011265015819/1490699199208230993/1508074470672437410,13,15,28,verified
ל・aurelius・37,ל・aurelius・37,1420486463841374261,1508074465483952178,https://discord.com/channels/799672011265015819/1420486463841374261/1508074465483952178,7,0,7,verified
ם・unclaimed・38,ם・unclaimed・38,1485634202895519844,1508074457367838792,https://discord.com/channels/799672011265015819/1485634202895519844/1508074457367838792,3,9,12,verified
מ・cathedral・39,מ・cathedral・39,1493246871026794596,1508074451223318549,https://discord.com/channels/799672011265015819/1493246871026794596/1508074451223318549,8,0,8,verified
ן・unclaimed・40,ן・unclaimed・40,1371491429775446147,1508074445108023306,https://discord.com/channels/799672011265015819/1371491429775446147/1508074445108023306,1,6,7,verified
נ・almanac・41,נ・almanac・41,1263142301786574889,1508074439953092718,https://discord.com/channels/799672011265015819/1263142301786574889/1508074439953092718,0,0,0,verified
ס・unclaimed・42,ס・unclaimed・42,1486496645058138152,1508074434093912215,https://discord.com/channels/799672011265015819/1486496645058138152/1508074434093912215,0,3,3,verified
ע・graphiτe・43,ע・graphiτe・43,1263507367405031434,1508074428733456424,https://discord.com/channels/799672011265015819/1263507367405031434/1508074428733456424,0,0,0,verified
ף・score・44,ף・score・44,1271486854830755981,1508074423322808440,https://discord.com/channels/799672011265015819/1271486854830755981/1508074423322808440,40,16,56,verified
פ・τalisman・45,פ・τalisman・45,1267511824601976935,1508074417597714502,https://discord.com/channels/799672011265015819/1267511824601976935/1508074417597714502,2,5,7,verified
