subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
𝛼・apex・1,𝛼・apex・1,1161764867166961704,1508074699589025964,https://discord.com/channels/799672011265015819/1161764867166961704/1508074699589025964,23,2,25,legit,0,target-verified,2026-05-24T19:37:18.186Z
β・dsperse・2,β・dsperse・2,1220504695404236800,1508074692500656269,https://discord.com/channels/799672011265015819/1220504695404236800/1508074692500656269,13,1,14,legit,0,target-verified,2026-05-24T19:37:24.066Z
γ・τeuτonic・3,γ・τeuτonic・3,1493243812263362660,1508074686745935962,https://discord.com/channels/799672011265015819/1493243812263362660/1508074686745935962,34,3,37,legit,0,target-verified,2026-05-24T19:37:30.201Z
∆・τargon・4,∆・τargon・4,1161765008347254915,1508074680244895824,https://discord.com/channels/799672011265015819/1161765008347254915/1508074680244895824,19,0,19,legit,0,target-verified,2026-05-24T19:37:36.469Z
ε・hone・5,ε・hone・5,1368959417936252998,1508074674385321984,https://discord.com/channels/799672011265015819/1368959417936252998/1508074674385321984,16,8,24,legit,0,target-verified,2026-05-24T19:37:42.182Z
ζ・numinous・6,ζ・numinous・6,1209554949449457705,1508074669998342296,https://discord.com/channels/799672011265015819/1209554949449457705/1508074669998342296,7,15,22,bunk,0,target-verified,2026-05-24T19:37:48.520Z
η・allways・7,η・allways・7,1437494877578330174,1508074664516255905,https://discord.com/channels/799672011265015819/1437494877578330174/1508074664516255905,16,10,26,legit,0,target-verified,2026-05-24T19:37:55.013Z
θ・vanta・8,θ・vanta・8,1162384774170677318,1508074659017658479,https://discord.com/channels/799672011265015819/1162384774170677318/1508074659017658479,14,16,30,bunk,0,target-verified,2026-05-24T19:38:01.395Z
ι・ioτa・9,ι・ioτa・9,1162768567821930597,1508074652096790759,https://discord.com/channels/799672011265015819/1162768567821930597/1508074652096790759,27,3,30,legit,0,target-verified,2026-05-24T19:38:06.913Z
κ・unclaimed・10,κ・unclaimed・10,1466140393199636692,1508074646887731273,https://discord.com/channels/799672011265015819/1466140393199636692/1508074646887731273,1,10,11,bunk,0,target-verified,2026-05-24T19:38:12.531Z
λ・trajectory-rl・11,λ・trajectory-rl・11,1466120711033590034,1508074641804234852,https://discord.com/channels/799672011265015819/1466120711033590034/1508074641804234852,32,3,35,legit,0,target-verified,2026-05-24T19:38:17.861Z
µ・horde・12,µ・horde・12,1201941624243109888,1508074634208215151,https://discord.com/channels/799672011265015819/1201941624243109888/1508074634208215151,2,5,7,bunk,0,target-verified,2026-05-24T19:38:23.332Z
ν・daτaverse・13,ν・daτaverse・13,1185617142914236518,1508074631289110558,https://discord.com/channels/799672011265015819/1185617142914236518/1508074631289110558,11,4,15,legit,0,target-verified,2026-05-24T19:38:29.578Z
ㄷ・cacheon・14,ㄷ・cacheon・14,1503393871172866098,1508074630181683413,https://discord.com/channels/799672011265015819/1503393871172866098/1508074630181683413,15,0,15,legit,1,target-verified,2026-05-24T19:38:35.300Z
ο・oro・15,ο・oro・15,1466080859164643389,1508074617590251640,https://discord.com/channels/799672011265015819/1466080859164643389/1508074617590251640,28,2,30,legit,0,target-verified,2026-05-24T19:38:40.636Z
π・biτads・16,π・biτads・16,1437905570219950170,1508074610791415831,https://discord.com/channels/799672011265015819/1437905570219950170/1508074610791415831,11,4,15,legit,13,target-verified,2026-05-24T19:38:46.025Z
ρ・404—gen・17,ρ・404—gen・17,1179081290289528864,1508074603883266170,https://discord.com/channels/799672011265015819/1179081290289528864/1508074603883266170,12,5,17,legit,0,target-verified,2026-05-24T19:38:56.125Z
σ・zeus・18,σ・zeus・18,1335971614516576296,1508074598376411287,https://discord.com/channels/799672011265015819/1335971614516576296/1508074598376411287,1,10,11,bunk,0,target-verified,2026-05-24T19:39:03.224Z
τ・blockmachine・19,τ・blockmachine・19,1414687189752746167,1508074582001844285,https://discord.com/channels/799672011265015819/1414687189752746167/1508074582001844285,16,0,16,legit,0,target-verified,2026-05-24T19:39:09.711Z
υ・groundlayer・20,υ・groundlayer・20,1475925616996909269,1508074587324420308,https://discord.com/channels/799672011265015819/1475925616996909269/1508074587324420308,1,7,8,bunk,0,target-verified,2026-05-24T19:39:18.661Z
φ・adτao・21,φ・adτao・21,1489651673944297472,1508074575601209535,https://discord.com/channels/799672011265015819/1489651673944297472/1508074575601209535,6,6,12,tie,0,target-verified,2026-05-24T19:39:25.088Z
χ・desearch・22,χ・desearch・22,1189589759065067580,1508074569129398433,https://discord.com/channels/799672011265015819/1189589759065067580/1508074569129398433,10,3,13,legit,0,target-verified,2026-05-24T19:39:31.022Z
ψ・trishool・23,ψ・trishool・23,1437447445176127618,1508074563614019685,https://discord.com/channels/799672011265015819/1437447445176127618/1508074563614019685,17,7,24,legit,0,target-verified,2026-05-24T19:39:37.175Z
ω・quasar・24,ω・quasar・24,1453112474692751532,1508074557552984175,https://discord.com/channels/799672011265015819/1453112474692751532/1508074557552984175,34,5,39,legit,0,target-verified,2026-05-24T19:39:43.028Z
א・mainframe・25,א・mainframe・25,1234881153832321024,1508074548841681047,https://discord.com/channels/799672011265015819/1234881153832321024/1508074548841681047,1,17,18,bunk,0,target-verified,2026-05-24T19:39:49.916Z
ב・perτurb・26,ב・perτurb・26,1501594532016558080,1508074540205608971,https://discord.com/channels/799672011265015819/1501594532016558080/1508074540205608971,36,24,60,legit,0,target-verified,2026-05-24T19:39:56.894Z
